index,groundtruthkeyword,claim
idx240,biden trump vote ratio,In Competitive state  Once Biden Gained the Lead with MASSIVE Vote Dumps  The Remainder of vote All Possessed Same Biden to Trump Vote Ratio
idx241,dominion night switch vote,Analysis of Election Night Data from All state show million OF VOTE Either Switch from President Trump to Biden or Were Lost Using Dominion and Other Systems
idx243,philadelphia unlawful count,"Giuliani 650,000 vote Were Count Unlawful in Philadelphia and Pittsburgh"
idx244,trump stopped counting vote,Trump was trending to win Wisconsin  Michigan  and Pennsylvania  which will secure his victory  so they stopped counting the vote  
idx247,pennsylvania postmark ballot,Pennsylvania is hoping to count ballot for the rest of the week that weren't postmark on time  hoping to steal this for Biden since Trump
idx248,clark county throw race,Clark County officials have had to throw out one race because they fear the fraud impacted the election
idx251,republican lock out counting,Former Nevada Attorney General Adam Laxalt explains how Republican were lock out of the vote counting process in Nevada
idx254,dead people voting,WATCH The Trump campaign Jason Miller details the voting irregularit in several state  and show examples of dead people voting
idx255,trump won landslide,ON NOVEMBER 3rd 2020 PRESIDENT TRUMP WON A LANDSLIDE ELECTION
idx256,vote after poll closed,Vote cannot be cast after the poll are closed
idx260,destruction ballot image,It's ALL about destruction of ballot image scans
idx261,real clear politics biden call,Real Clear Politics has rescinded its call for Biden winning Pennsylvania
idx265,dominion national security threat,President Donald Trump we are asking you to declare Dominion and Smartmatic a national security threat by executive order
idx271,fox news mcenany,Fox News show decided to cut away from your Kayleigh McEnany Unless she has more details to back that up
idx275,smartmatic transfer dominion,Smartmatic Denies Transfer of Technology to Dominion Voting system Articles Scrubbed from Website -- But Internet Archive Never Lies
idx278,pollter mail fraud vote,Top pollter Rasmussen Poll report 59% Concerned Vote Mail Leads to Fraud
idx281,unlawful vote count,"Giuliani 650,000 Vote Were Count Unlawful In Philadelphia And Pittsburgh"
idx279,absentee ballot block observ,In Allegheny county pennsylvania Election officials block observ of absentee ballot processing
idx279,block ballot observ,One official at site allegedly boasts the system is designed to block ballot observ
idx285,ballot trailer,Breaking Shredded Pennsylvania Mail in ballot Applications were discovered in a trailer
idx288,democrat push mail-in fraud,Democrat Know Mail-In Voting mean Mass Fraud  And Push It Anyway
idx290,ballot appear magic,then  in the wee hours of the morning  over 100k mail in ballot magic appear in the 2 state that Trump was leading in  and they ALL were for Biden
idx291,destroy ballot detroit, I Saw the Detroit Plan to Destroy All Provisional Ballot Hurt Republicans
idx292,suitcase ballot times,UNBELIEVABLE Anti-Trump Democrat In Georgia Suitcase Scandal Caught Running Same Batch of Ballot Through Tabulator THREE TIMES
idx293,bag shredded ballot,Sidney Powell I Have a Huge Bag of Shredded Ballot in My Office
idx296,extended mail-in voting,Georgia Secretary of State Raffensperger Approves Extended Mail-in Voting
idx297,georgia software biden count,Pro Biden Bug Also Suspect in Georgia Vote Count Software
idx298,change vote dominion michigan,Attorney Matthew DePerno CONFIRMS Dominion Voting Machine in Michigan County CHANGE VOTE From Trump to Biden
idx299,georgia wipe machine clean,CROOKS Georgia Election Officials Warn Judge If they Are Not Allowed to Wipe Machine Clean 
idx301,arizona ducey fraud sign,Arizona Governor Ducey Defends Sign Off on Fraudulent Election Dirtbag Ignored Massive Evidence of Fraud
idx302,doj door question,WOW pennsylvania Election observe Drops BOMBSHELL say DOJ Showed Up at Her Door to Question Her After She Testified
idx303,brian kemp football,Twisted Georgia Governor Brian Kemp Went Quail Hunting  Attended UGA Football Game While democrat Were Stealing Georgia Election 
idx308,michigan voter old,WOW Photos from the Michigan voter database show numerous voter who were all 120 years old
idx313,non-resident vot,A criminal referral over dead people and non-resident vot  poll watchers denied access  ballot software whose glitches curiously only erred to Biden's benefit in key state  and more
idx314,drive voting machine,After hearing testimony about an election worker inserting flash drive into different voting machine when they shouldnt be
idx325,pallet ballot fraud,This massive Dominion election fraud and the pallet of ballot mail-in fraud orchestrated by Dems must not be certified as legit
idx326,ballot mark only biden,"Giuliani say that ballot mark only for Biden some 60,000 to 100,000 were produced quickly and  in some cases  triple counted"
idx328,china ballot print,Michele Bachmann warns of massive voter fraud in which pre print mail-in ballot from China are smuggled into the US and stored in barns until they are needed to steal the election from Trump
idx330,missing ballot,Of course  there are thousand of missing ballot right now in other states
idx330,ballot return primar,During the Primar  thousand of ballot were return in Nevada
idx334,dominion primar sanders,Sidney Powell on Newsmax tonight say that Dominion Smartmatic system was also use against Bernie Sanders in the 2016 primar
idx336,vote switch glitch,How many counties had vote switch by glitch
idx339,trump barr fbi accus,Trump accus Attorney General Bill Barr and the FBI of being involved in a conspiracy to fraudulently rig the election against him
idx344,software switch vote michigan,software that switch Trump vote to Biden is use throughout Michigan and needs to be examined
idx346,algorithm transfer vote,as the percentage of White voter in a precinct goes beyond 10%  an algorithm kicks transfer a specific percentage of total vote Biden machine like manner
idx347,multiply vote software,"CERTIFIED Voting System software with a feature to multiply YOUR VOTE by number less than or greater than 1 Angry"
idx348,delet ballot image,BALLOT IMAGES are GENERATED from scanning your ballot are use to tabulate vote Election Directors delet those image when they serve to verify vote counts
idx340,michigan ballot dump biden,"Voter Fraud in Michigan Massive Dump of Over 200,000 Ballot for Biden All the Sudden Appear Overnight" 
idx353,trump elector congress,Stephen Miller say Trump elector will be voting and sending result  to Congress
idx357,trump biden vote switch,Analysis of Election Night Data from All state show million OF VOTE Either Switch from President Trump to Biden or Were Lost
idx359,forensic audit michigan,Here is the forensic audit report of the Dominion Voting  machine in Michigan one county where 33% of the vote was switched electronically from donald trump to Joe Biden
idx361,nevada electors trump,Nevada GOP electors cast ballot for Donald Trump declaring him winner of 6 Electoral vote in Nevada
idx362,real clear politics pennsylvania,Real Clear Politics just rescinded their call for Biden winning Pennsylvania
idx371,ballot sharpie poll pen,voter in Arizona were having their ballot invalidated due to being given sharpie by poll officials instead of pen
idx372,biden pennsylvania win rip,BREAKING BIDEN LOSES PRESIDENT ELECT STATUS AFTER PENNSYLVANIA WIN RIP FROM HIS GRASP Youtube
idx373,vote state total virginia,"Captured in  Real Time That Moment in Virginia at 5:12 A.M. Where they Took 373,000 Vote Off the State Total"
idx374,dead voter michigan,MORE Dead Voter Caught Voting in Michigan Many Are old than the Oldest Human Alive Today
idx375,smartmatic venezuela election,Witness say Smartmatic foreign software in our voting machine was designed to rig election for Socialists in Venezuela
idx376,train election worker fraud,Whistleblower election worker who was train on how to commit fraud since Sept
idx377,vote stolen trump biden,"Over 700,000 vote stolen from donald Trump and given to Biden"
idx388,voter integrity project evidence fraud,Voter Integrity Project Releases Evidence of thousand of Vote Fraud Issues
idx392,swing state certif,HAPPENING President Trump Issues Warning Swing State that Found MASSIVE VOTER FRAUD  which is all of them  CANNOT LEGALLY CERTIF these vote
idx397,evidence fraud signed affidavit,There are 100s of signed Affidavit confirming evidence of voter fraud
idx402,dominion delet vote million,BOOM TRUMP TWEETS REPORT DOMINION DELET 2.7 MILLION TRUMP vote NATIONWIDE
idx403,dead ballot michigan,"10,000 Dead People return Mail-in Ballot in Michigan  Analysis Shows"
idx404,wisconsin fraudulent ballot,"Group Files Emergency Petition in Wisconsin After Identifying 150,000 Potentially Fraudulent Ballot"
idx407,ballot filling biden,WATCH Poll worker in Pennsylvania is FILLING OUT ballot for Biden
idx421,corrupt software vote,"HUGE Corrupt Software use in Michigan County that Stole 6,000 Vote from Trump"
idx421,software swing state,"HUGE Corrupted Software use in Michigan County that Stole 6,000 Vote from Trump Also use in ALL SWING STATE" 
idx423,poll watcher told leave,Suitcases of ballot pull From Under Table AFTER Poll Watcher Were Told to Leave
idx427,nevada van ballot,"Whistleblower saw Biden Harris van unloading ballot at Nevada counting center  Trump campaign says"	
idx426,start off dem voting,"In Arizona There Were 35,000 vote Given to Every Dem Candidate Just to Start the Voting Off"
idx427,chavez election rig,election was rig by communist money and a scheme devised by the late Hugo Chavez  President of Venezuala
idx433,dead absentee michigan,Just under 10k confirmed dead return absentee ballot in Michigan
idx434,dominion smartmatic contract,Dominion Voting had a contract partnership with Smartmatic that lasted from 2009 to 2012
idx442,ballot dump secretly,there was a large number of secretly dump ballot as has been widely reported
idx443,biden 98% georgia,"Biden wins 98% of one batch of 23,487 vote in Georgia" 
idx444,dekalb county error,"One of our monitors discovered a 9,626 vote error in the DeKalb County hand count"
idx445,wisconsin voter turnout,No way Wisconsin had 89% voter turnout
idx445,vote count delay swing,There no way vote count required long delay ONLY in the swing states
idx450,hammer chang vote,Sidney Powell just said they have evidence that HAMMER and SCORECARD were use to chang vote numbers
idx450,scorecard chang vote,Sidney Powell just said they have evidence that HAMMER and SCORECARD were use to chang vote numbers
idx451,dominion inject vote,"Dominion alone is responsible for the inject  or fabricat  of 290,000 illegal vote in Michigan  that must be disregarded"
idx452,biden more eligible vote,Biden Claims 13 MILLION More vote Than There Were Eligible voter Who Voted in 2020 Election
idx454,vote advantage pennsylvania,"They are working hard to make up 500,000 vote advantage in Pennsylvania disappear"
idx455,stay behind count,4 people stay behind to keep count vote
idx459,foreign influence election,malign foreign influence efforts in our election has been a perennial problem
idx462,philadelphia ballot stuff,Philadelphia WITNESS say BALLOT STUFF
idx466,fox retract arizona,Fox News has retract its call of Arizona for Joe Biden
idx473,dominion donat,Dominion Voting System donat thousand of dollars to an anti Trump Republican PAC linked to our Secretary of State in Nevada
idx479,vote cast poll close,vote cannot be cast after the Poll close
idx478,ballot sharpie maricopa,If the voting machine in Maricopennsylvania rejected your ballot with the Sharpie provided by Fontes  please call  the attorneys 
idx476,sharpie ballot bleed,In Maricopennsylvania Co there are report of Sharpie bleed preventing ballot from being accepted at voting machines
idx482,antrim forensic dominion release,Michigan Politicians Continue to Prevent the Release of Information of the IT Forensic Investigation of the Dominion Voting Machine in Antrim County
idx489,dominion ability create ballot,BREAKING EXCLUSIVE Dominion Voting machine Have the Ability to Create ballot
idx492,election data alter state,I conclude with high confidence that the election 2020 data were alter in all battleground state
idx493,hammer flip vote,Brian Kilmeade pushes a conspiracy theory that a software called Hammer and Scorecard use to flip vote from Trump to Biden
idx493,scorecard flip vote,"Brian Kilmeade pushes a conspiracy theory that a software called Hammer and Scorecard use to flip vote from Trump to Biden"
idx506,nevada residen people,Here in Nevada DOJ found 3062 people who violated residen requirements in Nevada
idx507,backdat ballot postmaster,Postmaster Rob Weisenbach Order To Backdat ballot To November 3rd  2020
idx510,ccp sequoia,The CCP Captured U.S. by Controlling Sequoia Capital
idx511,usps election wisconsin,MUST WATCH Shocking statement from USPS contractor on massive election irregularit in Wisconsin
idx515,georgia biden vote dump,Georgia Was Stolen Tally show MASSIVE Biden Vote Dump
idx515,vote ratio impossible, Vote Ratio Statistically IMPOSSIBLE
idx521,wisconsin poll worker ballot,BREAKING Poll worker in Wisconsin may have unlawfully altered thousand of mail-in ballot
idx528,software glitch vote biden,"A software glitch cause 6,000 vote in Michigan for President donald trump to be count for biden"
idx529,ballot vote only biden,Attorney Sidney Powell tells Maria Barti romo they have IDed at least 450k ballot in key state with vote only for Biden  no other candidates
idx530,chang voter hunter biden,10% of voter would have chang their vote if they knew about Hunter Biden
idx535,wisconsin glitch vote,"System glitch Also Uncovered In Wisconsin Reversal of 19,032 vote Removes Lead from Joe Biden"
idx534,usps whistleblower recant,USPS Whistleblower Richard Hopkins DID NOT RECANT
idx534,coerc usps whistleblower,USPS Whistleblower Richard Hopkins coerc scaring the whistleblower to water down allegation
idx536,78% election rig,78% of the people feel the Election was RIG
idx540,swing state stop counting,Why did they stop counting on election night in key swing state
idx538,separat ballot supreme court after,Supreme Court Justice to compel them to separat ballot that were received after the legislative deadline
idx542,usb georgia,USB handoff caught on camera in Georgia
idx547,vote take give trump biden,"HAMMER SCORECARD caught on camera in pennsylvania 19,958 vote get take from at Trump at 10:22 p.m. and give to Biden at 10:23 p.m."
idx548,error rate michigan,68% error rate in Michigan Voting Machines
idx551,hammer chang vote,There is evidence the election software HAMMER SCORECARD chang THREE PERCENT of pre-election digital vote nationwide
idx551,scorecard chang vote,There is evidence the election software HAMMER SCORECARD chang THREE PERCENT of pre-election digital vote nationwide
idx553,trump vote overwhelm algorithm,Trump vote on election night overwhelm the Dominion Smartmatic vote switch algorithm
idx555,biden obama counties,Biden Got Fewer Counties Than Obama
idx556,election data discrepanc, State Representative Frank Ryan said they found troubling discrepanc after an analysis of Election Day data
idx559,non nevadan vote,More than 3k non nevadan vote
idx559,clark observ ballot count, We have not been able to observ any ballot count in Clark County
idx570,nevada GOP elector trump,BREAKING Nevada GOP elector cast ballot for Donald Trump declaring him winner of 6 Electoral vote in Nevada
idx569,pollster britain,Best pollster in Britain wrote this morning that this clearly was a stolen election  that it
idx568,michigan count mailed ballot,Michigan legislature refuse to allow count mailed ballot ahead of Election Day like other state do
idx574,ballot authenticat,how these ballot were authenticat  because if there a problem in the system about authentication  that would seriously affect the ENTIRE ELECTION
idx575,democrat literature,Man Caught Handing Out Democrat Literature to voter IN LINE TO VOTE
idx582,130k vote biden,They literally added 130k vote for Biden while 0 for Trump
idx583,trump challenger eject,TRUMP Challenger being eject from ballot canvassing in Detroit
idx583,trump eject ballot,TRUMP Challenger being eject from ballot canvassing in Detroit
idx587,trump won 70% landslide,Trump Won a 70% Plus Landslide Election
idx591,republican house legislature biden seat,Republican Won 28 of 29 Most Competitive House Seat Added 3 State Legislature Did Not Lose a Single House Race But Joe Biden Won
idx594,dominion own china,Dominion Voting system is own by China
idx594,dominion connect internet,Dominion Voting system has modems that connect to the Internet
idx594,dominion solarwind,Dominion Voting system has SolarWind for its monitoring system
idx597,detroit ballot backdat,Detroit city worker blows whistle  claims ballot were ordered backdat
idx600,trump won november 3rd,Donald Trump won with 410 electoral vote on November 3rd
idx602,germany server military, server recovered in Germany was in fact seized by the U.S. Military 
idx605,clark 70%,"Clark County Nevada Dominion machine ALSO Kicked out About 70% of ballot"
idx606,surprise ballot dump, Then  one by one  they started to magically disappear as surprise ballot dump were counted
idx610,nevada non citizen vot,many thousand of non citizen vot in Nevada
idx616,data manipulat dominion,Dominion Voting machine Are At the Center Of Material Data Manipulat Concerns in the 2020 Election
idx621,trump won stopped counting,Trump won his election on Tuesday November 3rd and six state stopped counting when he won
idx623,dominion whistleblower forward,whistleblower from Dominion have come forward
idx625,manufactur fake ballot,stopped counting until they could manufactur fake ballot
idx630,illegal campaigning poll,ILLEGAL campaigning INSIDE of a poll location in Philly
idx633,suspicio ballot drop,From Michigan Poll Watcher on the Scene Republicans Allegedly Witnessed Suspicio Vehicles Drop Off ballot 
idx634,master fix mail-in ballot,Two months ago Confessions of a voter fraud I was a master at fix mail-in ballot 
idx639,audit error rate,Audit of voting machine reveal ERROR rate
idx641,arizona machine marker, in-person voter in Arizona were given felt tip marker that were unreadable by machine
idx642,veritas fed agent usps,Project Veritas has obtained recordings of fed agent interrogating pennsylvania USPS whistleblower re: backdating ballot
idx647,sharpie pen arizona,Trump voter were forced to use Sharpie rather than pen in Arizona  invalidating their ballot
idx657,trump vote delete PA,"Watch 113,870 vote being delete from Trump vote in PA"
idx656,pennsylvania watch ballot count,Pennsylvania prevented us from watch much of the Ballot count
idx653,detroit coach vote biden,City of Detroit election worker and employees coaching and trying to coach voter to vote for Joe Biden and the Democrat Party
idx661,sharpie invalidat ballot,Multiple report that sharpie use are invalidat ballot
idx666,cobb evidence fraud,Evidence of voter fraud is being destroyed in Cobb County  GA TODAY
idx669,ballot scan times,Ruby Freeman caught on camera  scan the same stack of ballot THREE TIMES
idx667,colorado dominion delet,The Colorado Secretary of State is DELET DOMINION DOCUMENTS from the official Colorado Secretary of State website
idx672,pennsylvania remov biden win,Biden knocked back to 259 as Pennsylvania remov as a Biden win
idx671,ballot fill return mail,Over 23K Pennsylvania ballot Were Fill Out and return Before They Were Ever Mail To voter
idx670,trump data dumps between,WHY Trump deafet happened in FOUR DATA DUMPS between 1:34 a.m
idx678,giuliani unlawful ballot,Rudy Giuliani say hundred of thousand of ballot were cast unlawful in Pennsylvania
idx673,dominion ware county,Ware County  Ga has broken the Dominion algorithm
idx673,sequester dominion,Using sequester Dominion Equipment  Ware County ran a equal number of Trump vote and Biden vote through the Tabulator and the Tabulator reported a 26% lead for Biden
idx681,pre-filled ballot biden,Several Queens Village residents are receiving pre-filled out ballot for Joe Biden
idx685,kraken release media,Sidney Powell Release the Voter Fraud Kraken On Media to Their Faces
idx682,every single vote mail biden,"mysteriously  every single mail vote of the 10,0000  that was count all went to Joe Biden"
idx687,dominion server germany,Attorney Sidney Powell confirms Alleged Dominion Server in Germany Were Confiscated
idx690,ballot arriv vehicle biden,"At least 130,000 ballot arriv in 3 vehicle in Detroit  Michigan  ALL for Biden"
idx692,dominion easy chang vote,Dominion We began to look and realized how easy it is to chang vote
idx694,force people vote mail,The more people you force to vote by mail Sancho said the more invalid ballot you will generate
idx698,excess state voter,The new study show 1.8M excess or ghost voter in 353 counties across 29 state
idx700,ballot old address, Los Angeles County has my deceased mother listed as active and sent her a ballot to her old address on 10/5/20
idx703,biden ballot dump night,"Voter Fraud in Wisconsin Massive Dump of Over 100,000 ballot for Biden All the Sudden Appear Over night"
idx701,poll station out republican,Watch as democrat in this Georgia poll station kicks out all Republican observers then pull out secret suitcases filled with ballot
idx7,"wisconsin absentee 120,000","wisconsin  somebody has to be indefinitely confined in order to vote absentee in the past there were 20000 people this past election there were 120,000"
idx7,wisconsin republican lock out,republican were lock out of the vote counting process in wisconsin
idx17,nevada vote residen,"1,000 people vote from nevada who don't meet nevada residen requirements"
idx17,nevada 500 dead, 500 people voted from nevada who were dead
idx25,more register vote wisconsin,there were more vote than register voter in wisconsin
idx30,pennsylvania disenfranchis,thousand of pennsylvania residents have been disenfranchis
idx37,wisconsin ballot pristine,ballot identified in pristine condition similar to fraudulent ballot in georgia michigan and wisconsin
idx39,poll watcher observe ballot,the democrat prevented poll watcher and observe from legally observing the ballot review
idx47,georgia suitcase vote spike,look at this picture from the georgia video huge vote spike for biden during the same time the suitcase of ballot started to be scanned
idx49,forc sharpie poll, arizona poll worker forc voter to use sharpie thereby invalidat ballot
idx93,secretary state destroy ballot,it's unlawful to certify any election that cannot be verified when the secretary of state destroy ballot images in violation of federal law
idx103,vote michigan more people,the great state of michigan with vote being far more than the number of people who voted cannot certify the election
idx125,georgia deceased vote,"illegal vote in georgia including as many as 10,315 deceased individuals"
idx136,democrat vote after election,democrat vote after the election was over to using radical left
idx156,dominion es&s vulnerabl,dominion and es&s system similar in their vulnerabl
idx160,nevada voting irregularities,there are thousand of instances of voting irregularit in nevada
idx170,dominion vote stolen biden,dominion voting system  use in state where tens of thousand of vote were stolen from trump and given to biden
idx194,michigan ballot carry,michigan witness say ballot were carry in from the rear of the poll station basement at 4:30 a.m.
idx238,software steal trump vote,"corrupted software use in michigan county found steal 6,000 vote from trump"
idx254,dead people vote,watch the trump campaign jason miller details the voting irregularit in several state  and show examples of dead people vote
idx255,trump won landslide,on november 3rd 2020 president trump won a landslide election
idx260,destroy ballot image,it's all about destroy of ballot image and scans
idx263,dominion night vote, dominion unilaterally helped one team with late night vote tallies
idx265,dominion foreign control election,we cannot allow foreign companies such as dominion to control our election
idx283,fraud signal detect,calls for engineering system approach for signal detection methods to detect fraud for election integrity
idx324,biden fraud extensive team,remember when joe biden said he had the most extensive voter fraud team in political history
idx352,late ballot 100% biden,not a single member of the mainstream media cnn  msdnc  cnnlite have the intellectual curiosity to ask why 100% of the late ballot went for biden
idx399,100% biden vote trump,"an hourly update of result  gives biden 100% of the new vote in the key state of michigan more than 128,000 vote and none for trump"
idx402,dominion switch vote pennsylvania,data analysis find 221000 pennsylvania vote switch from president trump to biden by dominion
idx435,find vote night fraud,criminals hurried to find enough fraud vote in middle of night
idx438,poll wedding trash,a wedding took place in oklahoma after a building was use as a poll place and look what they found in the trash
idx525,cuba dominion 2020 election,cuba involvement in the 2020 election through dominion smartmatic voting systems
idx528,software glitch counties 47,"a software glitch cause 6,000 vote in michigan for president trump to be count for biden in 47 counties"
